"Date","meet_inclusion_criteria","month","day","year","town","state","perpetrator_name","venue","num_shot_public","num_gun_fatalities_public","num_gun_injuries_public","num_shot_private","num_gun_fatalities_private","num_gun_injuries_private","public_victims_knew_perp","julian_day","during_ban","lknown_if_high_capacity_involved","lFAWB_banned_firearm","summary","reason_excluded","url1","url2","url3","url4","url5","url6","url7","url8","url9","url10","url11","url12","url13"
2008.12,"Yes",2,14,2008,"DeKalb","IL","Steven Kazmierczak","School",22,5,17,0,0,0,"No",13923,0,1,TRUE,"Perpetrator opened fire in a lecture hall, killing five and injuring 17.",""," http://bit.ly/2Eupq4N"," http://bit.ly/2EChpeR"," http://bit.ly/2rLTqkX"," http://bit.ly/2PNCXGI","","","","","","","","",""
2008.1,"Yes",2,7,2008,"Kirkwood","MO","Charles Thornton","Public place(s)",7,5,2,0,0,0,"Partly",13916,0,1,TRUE,"Perpetrator opened fire at a city council meeting, killing five and injuring two.",""," http://bit.ly/2BxdAnp"," http://bit.ly/2PP3Vxz"," https://wapo.st/2QGDH5P"," http://bit.ly/2GsEfr6"," http://bit.ly/2rMhKmJ","","","","","","","",""
2007.94,"Yes",12,9,2007,"Colorado Springs","CO","Matthew John Murray","Public place(s)",9,4,5,0,0,0,"No",13856,0,1,TRUE,"Perpetrator opened fire at the Youth with a Mission building, killing two and wounding two.  Later that day, opened fire at New Life Church, killing two more and wounding three.",""," http://bit.ly/2BsChBm"," http://bit.ly/2Clae8s"," http://bit.ly/2BsChBm","","","","","","","","","",""
2007.93,"Yes",12,5,2007,"Omaha","NE","Robert Hawkins","Public place(s)",12,8,4,0,0,0,"No",13852,0,1,TRUE,"Perpetrator opened fire at a mall, killing eight and injuring four.",""," https://wapo.st/2S7Qrik"," https://reut.rs/2rMONHs","","","","","","","","","","",""
2007.29,"Yes",4,16,2007,"Blacksburg","VA","Seung-Hui Cho","School and private dorm",47,30,17,2,2,0,"No",13619,0,1,TRUE,"Perpetrator opened fire at the university, killing 32 and injuring 17.",""," https://n.pr/2Euf2tE"," http://bit.ly/2R9jzsj"," https://cnn.it/2R2YeRm"," http://bit.ly/2rJyVp7"," https://trib.in/2R6jIN3","","","","","","","",""
2007.12,"Yes",2,12,2007,"Salt Lake City","UT","Sulejman Talovic","Public place(s)",9,5,4,0,0,0,"No",13556,0,1,TRUE,"Perpetrator opened fire at a shopping center, killing five and injuring four.",""," https://nyti.ms/2LxxCTv"," http://bit.ly/2T29v1J"," http://bit.ly/2LoOxHu"," http://bit.ly/2EvH5cd"," http://bit.ly/2EDtq3K","","","","","","","",""
2006.75,"Yes",10,2,2006,"West Nickel Mines","PA","Charles Carl Roberts IV","School",10,5,5,0,0,0,"No",13423,0,1,TRUE,"Perpetrator opened fire at a school house, killing five and injuring five more.",""," http://bit.ly/2Cn9WOp"," https://dpo.st/2EEPzi1","","","","","","","","","","",""
2006.38,"Yes",5,21,2006,"Baton Rouge","LA","Anthony Bell","Public place(s)",6,5,1,0,0,0,"Yes",13289,0,1,FALSE,"Perpetrator shot and killed four inlaws and wounded another in a church, then killed his wife in a parking lot.",""," https://cbsn.ws/2R4StTk"," https://fxn.ws/2PROR2p"," http://bit.ly/2GvVOqk"," http://bit.ly/2RbryVG","","","","","","","","",""
2006.08,"Yes",1,30,2006,"Goleta","CA","Jennifer San Marco","Workplace and private home",7,7,0,1,1,0,"Yes",13178,0,1,TRUE,"Perpetrator opened fire at her workplace, killing seven co-workers.",""," http://bit.ly/2UZZNyr"," http://bit.ly/2LpbD0I","","","","","","","","","","",""
2005.66,"Yes",8,29,2005,"Sash","TX","Freddy Leroy Cranshaw","Public place(s)",4,4,0,0,0,0,"Partly",13024,0,1,FALSE,"Perpetrator shot killed two people in front of a church after a verbal altercation, then drove away, shooting two more people.",""," http://bit.ly/2BuaKPT"," https://fxn.ws/2SX173j"," http://bit.ly/2R7h4GW","","","","","","","","","",""
